station,latitude,longitude,elevation,observed,theoretical,terrain,bouger,curv,special,freeair,complete_bouger
SW166,42.15716667,-109.15,7065,979693.64,980362.23,0.57,240.97,1.51,0,-4.43,-246.34
SW167,42.14133333,-109.1385,6920,979693.08,980360.8,0.39,236.02,1.52,0,-17.19,-254.34
SW168,42.12966667,-109.18,7150,979677.61,980359.75,0.95,243.87,1.51,0,-10,-254.43
SW169,42.122,-109.1798333,7035,979686.14,980359.05,0.18,239.94,1.52,0,-11.58,-252.86
SW170,42.13466667,-109.1983333,7075,979684.91,980360.2,0.32,241.31,1.51,0,-10.2,-252.7
SW171,42.12183333,-109.1248333,6960,979669.47,980359.04,0.52,237.39,1.52,0,-15.29,-253.67
SW172,42.11,-109.1073333,6980,979688.85,980357.98,0.55,238.07,1.52,0,-12.96,-252
SW173,42.1015,-109.0948333,6980,979690.41,980357.21,0.39,238.07,1.52,0,-10.64,-249.84
SW174,41.74666667,-109.2826667,6565,979718.46,980325.3,0.14,223.91,1.52,0,10.34,-214.95
SW175,41.75333333,-109.2623333,6493,979725.21,980325.89,0.1,221.46,1.51,0,9.73,-213.14
SW176,41.73183333,-109.2411667,6429,979727.53,980323.96,0.06,219.27,1.51,0,7.96,-212.76
SW177,41.76566667,-109.2481667,6478,979729.71,980327.01,0.03,220.95,1.51,0,11.71,-210.72
SW178,41.7855,-109.2373333,6475,979732.37,980328.79,0.18,220.84,1.51,0,12.29,-209.88
SW179,41.84583333,-109.2196667,6640,979727.96,980334.2,0.03,226.47,1.52,0,17.97,-209.99
SW180,41.87033333,-109.2135,6618,979724.29,980336.41,0.04,225.72,1.52,0,10.03,-217.17
SW181,41.90816667,-109.2003333,6626,979723.46,980339.82,0.07,225.99,1.52,0,6.55,-220.89
SW182,41.92516667,-109.1946667,6640,979722.4,980341.35,0.06,226.47,1.52,0,5.27,-222.65
SW183,41.94766667,-109.1855,6670,979720.94,980343.38,0.11,227.49,1.52,0,4.61,-224.29
SW184,41.965,-109.1983333,6710,979722.1,980344.93,0.07,228.86,1.52,0,7.97,-222.34
SW185,41.9365,-109.1553333,6720,979717.18,980342.37,0.28,229.2,1.52,0,6.55,-223.89
SW186,41.9505,-109.1515,6760,979715.64,980343.63,0.16,230.56,1.52,0,7.51,-224.41
SW187,41.96,-109.147,6868,979709.54,980344.48,0.14,234.25,1.52,0,10.7,-224.92
SW188,41.9765,-109.154,6810,979712.07,980345.96,0.45,232.27,1.52,0,6.3,-227.04
SW189,41.99166667,-109.1476667,6950,979703.07,980347.33,0.13,237.04,1.52,0,9.09,-229.34
SW190,42.00133333,-109.1311667,6923,979699.93,980348.2,0.26,236.12,1.52,0,2.54,-234.84
