depth (ft),longitude,latitude
3917.7,-107.62776,41.01171
3800.6,-107.74046,41.02101
4860.1,-107.83873,41.03026
5340.9,-107.6851,41.1357
4246.8,-107.65156,41.16104
4343,-107.67253,41.17992
5872.4,-107.8184,41.34985
,-107.76102,41.64662
3544.3,-107.71803,41.0187
6311.2,-107.8568,41.36448
3316.4,-107.67164,41.01548
3363.8,-107.68962,41.01579
4278.5,-107.67565,41.04859
5134,-107.85763,41.03783
4199.7,-107.80473,41.01228
,-107.79861,41.44262
3553.8,-107.70931,41.02697
3648.7,-107.59442,41.00538
8161.7,-107.85733,41.22286
4398.7,-107.64764,41.0632
5116.4,-107.73284,41.2444
5729.7,-107.82788,41.37531
5748,-107.71861,41.13572
6123,-107.90666,41.02405
3589.3,-107.69976,41.03403
4148.7,-107.6902,41.03778
5807.2,-107.82558,41.40377
5935.5,-107.82803,41.35351
4142.4,-107.6326,41.06686
8109.2,-107.85681,41.17959
8566.4,-107.85195,41.11113
4924.1,-107.87381,41.02901
5457.1,-107.75686,41.25561
7144.7,-107.809,41.2014
4645.5,-107.71125,41.23896
4781.2,-107.71126,41.21723
6655.5,-107.86668,41.56148
6159,-107.80906,41.56116
6558.6,-107.88635,41.59042
4435.6,-107.67518,41.17963
6388.9,-107.88576,41.48925
6449.5,-107.88645,41.47422
5718.6,-107.80638,41.3262
6300.1,-107.84472,41.32642
6582.8,-107.88578,41.41624
6071.9,-107.84727,41.48908
4148.7,-107.63664,41.12302
4425.5,-107.69209,41.20997
6385.5,-107.86647,41.48912
8032.9,-107.89035,41.27031
6095.5,-107.86659,41.54692
4759.9,-107.67304,41.15898
7097.4,-107.85252,41.07067
7129.4,-107.88269,41.32725
5439.5,-107.72987,41.2025
6003.7,-107.60004,41.6463
6199.8,-107.84745,41.4526
5921.8,-107.73041,41.1446
7441.6,-107.78784,41.15923
5480.6,-107.72024,41.18045
6536.3,-107.90496,41.48928
6422.3,-107.76917,41.17434
6235.3,-107.84782,41.50355
