DEPT,AHT10,AHT20,AHT30,AHT60,AHT90,AHTCO60,AHTCO90,DPHZ,DSOZ,DT,GR,HAZI,HCAL,HDRA,HMIN,HMNO,HTEM,ITT,NPOR,PEFZ,RSOZ,RXOZ,SDEV,SP,SPHI,RHOZ,TOP
4647,7.9474,7.7832,7.8743,8.1251,8.2127,123.075,121.7627,0.0779,0.5004,98.7544,24.957,128.7225,5.518,-0.0056,4.1154,3.9625,88.6028,0,0.6244,4.3179,0.167,6.0978,3.297,0,0.2969,2.5215,NELCHINA
4646.5,7.9475,7.7832,7.8747,8.1248,8.2141,123.0797,121.742,0.085,0.4983,98.7544,24.957,128.7238,5.518,-0.0122,4.1155,3.9624,88.6028,0.0001,0.6244,4.4494,0.1669,6.0968,3.297,0.3125,0.2969,2.5097,NELCHINA
4646,7.9477,7.7831,7.875,8.1245,8.2156,123.0838,121.7204,0.099,0.4944,98.7544,24.957,128.7252,5.5294,-0.0229,4.1158,3.9625,88.6028,0.0001,0.6241,4.6198,0.1668,6.0968,3.297,0.6875,0.2969,2.4866,NELCHINA
4645.5,7.9477,7.7831,7.8753,8.1243,8.2171,123.0874,121.698,0.1127,0.4903,98.7544,24.957,128.7413,5.518,-0.0325,4.1162,3.9626,88.6028,0.0002,0.6244,4.8119,0.1669,6.0967,3.2976,1.3125,0.2969,2.464,NELCHINA
4645,7.9478,7.7831,7.8756,8.1242,8.2186,123.0886,121.6747,0.1324,0.4825,98.7544,24.957,128.7595,5.518,-0.0553,4.1142,3.9616,88.6028,0.0002,0.6244,5.0141,0.1669,6.0967,3.2979,0.5,0.2969,2.4315,NELCHINA
4644.5,7.9481,7.7835,7.8761,8.1241,8.2202,123.0906,121.6515,0.1484,0.4745,98.7544,24.957,128.7668,5.518,-0.0746,4.1157,3.9624,88.6028,0.0003,0.6244,5.2139,0.1669,6.097,3.2983,1.0625,0.2969,2.4051,NELCHINA
4644,7.9488,7.7845,7.8766,8.1238,8.2224,123.0957,121.6183,0.1621,0.4669,98.7544,24.957,128.7762,5.5409,-0.093,4.1172,3.9633,88.6028,0.0003,0.6238,5.4329,0.1667,6.0974,3.2992,0.3125,0.2969,2.3825,NELCHINA
4643.5,7.95,7.7866,7.877,8.1234,8.2245,123.1006,121.5879,0.1628,0.463,98.7544,24.957,128.7896,5.518,-0.0904,4.1172,3.9634,88.6028,0.0004,0.6244,5.6778,0.1668,6.0979,3.3003,-0.3125,0.2969,2.3813,NELCHINA
4643,7.9526,7.7906,7.8776,8.1236,8.2271,123.0981,121.55,0.1622,0.4562,98.7544,24.957,128.8051,5.518,-0.0847,4.116,3.9631,88.6028,0.0004,0.6244,5.9448,0.1668,6.0982,3.3025,-0.3125,0.2969,2.3823,NELCHINA
4642.5,7.958,7.7974,7.8778,8.1232,8.2283,123.104,121.5311,0.1601,0.447,98.7544,24.957,128.8202,5.518,-0.077,4.1157,3.9628,88.6028,0.0005,0.6244,6.2086,0.1669,6.098,3.3027,-0.375,0.2969,2.3858,NELCHINA
4642,7.9684,7.8075,7.8778,8.1221,8.2292,123.1215,121.519,0.1595,0.4377,98.7544,24.957,128.8277,5.518,-0.071,4.1153,3.9625,88.6028,0.0005,0.6244,6.4443,0.1669,6.0979,3.3028,0.25,0.2969,2.3869,NELCHINA
