lab_id,field_id,job_id,submitter,date_collect,date_submitted,project_name,state,country,lat_wgs84,long_wgs84,datum_orig,lat_orig,long_orig,coord_prec_est,depth,locate_desc,sample_source,method_collected,primary_class,specific_name,addl_attr,geologic_age,stratigraphy,mineralization,sample_zone,horizon,saline,organics,ferritic,drainage,prep,mesh_size,collection_protocol,previous_job_id,previous_lab_id, ,
ABF305,66ASN551,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF280,66ASN529B,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF290,66ASN536,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF291,66ASN537,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF292,66ASN538,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF293,66ASN539,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF294,66ASN540,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF295,66ASN541,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF296,66ASN542,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.16630387,-143.1690387,(NAD27),65.16666,-143.16667,10 minutes,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E6100000E1A9D3C368E561C049B6FCB8A44A5040,0101000020110F000083A87F0FFC656EC1681166340B696241
ABF297,66ASN543,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF298,66ASN544,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.16630387,-143.1690387,(NAD27),65.16666,-143.16667,10 minutes,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E6100000E1A9D3C368E561C049B6FCB8A44A5040,0101000020110F000083A87F0FFC656EC1681166340B696241
ABF299,66ASN545,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF301,66ASN547,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF302,66ASN548,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
ABF303,66ASN549,HM51,"Sainsbury, Cleo L.",,8/5/1966,Arctic Engineering Geol,AK,United States,65.28297724,-143.1690492,(NAD27),65.28333,-143.16667,1 minute,,,,single/grab,soil,,,,,,,,,,,,,-80 mesh,,,,0101000020E61000005555C3D968E561C0FDD3914C1C525040,0101000020110F00003B70C234FC656EC1A7776D592D786241
