Sample ID,color,E1,E2,E3,E4,E5,E6,E7,E8,R,G,B
1,1,0,6.73,855.78,393.4,0,0,5.22,0.96,29,58,0
2,1,0,8.69,3074.37,230.07,0,0,0,0,29,58,0
3,1,0,10.35,1263,991.8,18.28,0,6.36,16.02,29,58,0
4,1,104.04,9.03,1209.78,20.06,0,0,5.7,0,29,58,0
5,1,0,6.79,672,0,0,0,0,7.3,29,58,0
6,1,0,8.87,966.33,196.03,0,0,1.23,0,29,58,0
7,1,0,6.42,0,0,0,0,0,5.5,29,58,0
8,1,10,,,,0,81,3.1,11,29,58,0
9,1,0,6.47,442.73,248.19,1.83,0,1.24,5.16,29,58,0
10,1,0,2.82,0,118.82,0,0,0,0.92,29,58,0
11,1,0,5.3,111.08,593.96,0,0,0,6,29,58,0
12,1,0,3.39,0,0,0,0,2.1,0,29,58,0
13,1,1119.46,28.81,1843.84,350.36,0,523.68,0,0,29,58,0
14,1,999.28,7.97,0,123.82,0,0,0,2.58,29,58,0
15,1,877.34,4.76,79.68,406.8,16.6,0,4.02,3.94,29,58,0
16,1,0,5.43,0,0,0,0,0,5.36,29,58,0
17,1,,2.2,280,,,,,,29,58,0
18,2,300,0.74,260,,,,,,97,87,67
19,3,580,1.2,310,,,,,,107,107,107
20,4,30,,,,,235,3.8,5,102,119,95
21,5,0,2.76,0,80.8,0,0,0,6.7,51,102,0
22,5,0,5.7,233.72,223.07,0,0,0,5.83,51,102,0
23,6,0,2.97,217.32,2443.22,0,0,0,6.4,0,102,0
24,7,0,5.4,87.72,822.42,0,0,0,6.14,102,102,51
25,5,130,,,,0,102,0.8,19,51,102,0
26,5,0,5.42,0,121.1,0,0,0,8.7,51,102,0
27,5,7,,,,,70,,15,51,102,0
28,5,5,,,,,100,,0,51,102,0
29,8,1102.53,4.76,1169.97,3037.08,0,398.58,0,11.98,0,128,0
30,8,30,,,,,319,11.9,6,0,128,0
31,8,0,9.22,1225.9,0,0,0,4,0,0,128,0
32,8,280,,,,0,77,1.2,12,0,128,0
33,8,1054.02,4.32,1142.06,2382.18,0,142.24,0,7.08,0,128,0
34,8,0,2.79,0,0,0,0,0.58,4.62,0,128,0
35,8,0,2.7,0,243.6,0,0,0,4.9,0,128,0
36,8,201.74,1.49,171.77,1452.17,10.5,0,0.6,16.47,0,128,0
37,8,0,2.51,0,146.97,1.76,0,0,2.22,0,128,0
38,8,820.69,2.42,0,197.04,0,0,5.93,17.62,0,128,0
39,8,0,2.4,0,224.5,0,0,0,0,0,128,0
40,8,0,2.74,0,0,0,0,0,0,0,128,0
41,8,0,5.7,0,7983.38,40.14,0,0,9.73,0,128,0
42,8,0,2.28,0,532.29,59.57,0,0,5.28,0,128,0
43,8,0,2.24,0,582.04,38.44,0,0,4.63,0,128,0
44,8,0,1.49,0,0,0,0,0,4.61,0,128,0
45,8,40,,,,,70,1.4,21,0,128,0
46,8,0,4.08,400.78,0,0,0,0,0,0,128,0
47,8,0,2.11,0,0,1.53,0,0.85,4.26,0,128,0
48,8,0,2.44,0,0,0,0,1.17,0,0,128,0
49,8,0,2.68,0,405.18,0,0,0,4.18,0,128,0
50,8,40,,,,0,17,0.9,9,0,128,0
51,8,0,3.19,0,0,0,0,0,4.16,0,128,0
52,8,0,2.13,0,0,0,0,3.1,2.7,0,128,0
53,8,260.9,2.05,0,757.82,0,0,0.58,13.6,0,128,0
54,8,0,6.22,96.74,237.78,0,0,0,4.06,0,128,0
55,8,60,,,,3,93,1.3,7,0,128,0
56,8,1825.4,1.37,0,153.45,0,0,0.9,26.5,0,128,0
57,8,665.88,1.42,0,0,0,0,5.08,7.06,0,128,0
58,8,0,2.95,931.55,0,0,0,5.35,4.2,0,128,0
59,8,1180,,,,7,67,39.7,154,0,128,0
60,8,7,,,,,50,,0,0,128,0
61,8,0,2.93,0,0,0,0,0,31.4,0,128,0
62,8,,6.9,880,,160,,,20,0,128,0
63,9,0,1.86,0,0,0,0,5.23,15.13,98,154,73
