,APINO,Surface hole latitude (NAD83),Surface hole longitude (NAD83),Bottom hole latitude (NAD83),Bottom hole longitude (NAD83),Total vertical depth at bottom hole (ft),Number of frac stages,Total slurry (bbl),Total proppant (lb),Surface-to-bottom hole length (ft),Producing interval length (ft),Lateral azimuth (°),First 18 months oil (bbl),IP oil API gravity (°),Average gas-oil ratio (ft3/bbl),Calculated top of reservoir temperature (°F),API number,Company,Well type,WSGS reservoir
0,543307,44.06884,-105.1392,44.07319,-105.12271,6325.0,21.275862068965516,85183.4538927739,4967583.241417605,4613.209075,3831.0,75.222237,776.0,42.65357142857142,3793.8328290086765,159.0183,0,22,1,1
1,545589,43.67997,-105.66802,43.69113,-105.67225,10689.62,21.275862068965516,85183.4538927739,125124.0,4217.598301,3533.0,339.241676,57154.0,42.65357142857142,3793.8328290086765,199.85138,1,9,1,1
2,560281,43.53329,-105.43121,43.52093,-105.427393,10114.29,12.0,85183.4538927739,1992847.0,4615.909771,3754.0,162.83833,75721.0,52.2,7480.932203,239.576407,2,8,1,1
3,560880,43.53269,-105.46218,43.52074,-105.45589,10118.8,13.0,36638.0,1992421.0,4662.652084,4000.0,152.239483,68301.0,42.65357142857142,10961.748634,251.653471,3,8,1,1
4,560883,43.53544,-105.4247,43.5468,-105.43352,10025.2,13.0,85183.4538927739,2027081.0,4753.829417,4072.0,322.173933,52078.0,42.65357142857142,9099.137931,246.21639,4,8,1,1
5,560884,43.55094,-105.42421,43.56148,-105.43016,9893.5,12.0,34489.6,2166923.0,4151.544159,3203.0,330.554571,58629.0,42.65357142857142,9890.710383,238.553234,5,8,1,1
6,560885,43.50622,-105.43721,43.51701,-105.43948,9962.0,11.0,33107.5,1857325.0,3977.364162,3381.0,348.119371,69175.0,50.6,11303.030303,240.078472,6,8,1,1
7,560885,43.50622,-105.43721,43.51701,-105.43948,9962.0,11.0,33107.5,1857325.0,3977.364162,3381.0,348.119371,69175.0,50.6,11303.030303,240.078472,6,8,1,1
8,560886,43.50521,-105.46474,43.51707,-105.47098,10163.0,15.0,27470.0,1403780.0,4627.430987,3330.0,332.249424,84474.0,42.65357142857142,6696.581197,216.20302862173915,7,8,1,1
9,560888,43.56188,-105.42414,43.57572,-105.4317,9887.9,17.0,33151.0,1669927.0,5426.121487,3929.0,331.354745,39858.0,42.65357142857142,12271.186441,232.612436,8,8,1,1
