MD,INCLINATION,AZIMUTH
0.00,0.00,180.00
100.00,0.25,104.00
200.00,0.58,117.00
300.00,0.50,160.00
400.00,0.50,244.00
500.00,0.50,347.00
600.00,0.50,71.00
700.00,0.25,313.00
800.00,0.58,5.00
900.00,0.00,0.00
1000.00,0.50,314.00
1100.00,0.00,360.00
1200.00,0.33,354.00
1300.00,0.00,360.00
1400.00,0.00,360.00
1500.00,0.50,22.00
1600.00,0.25,244.00
1700.00,0.50,96.00
1800.00,0.33,340.00
1900.00,0.50,170.00
2000.00,0.50,67.00
2100.00,0.25,203.00
2200.00,0.50,139.00
2300.00,0.00,180.00
2400.00,0.00,180.00
2500.00,0.00,180.00
2600.00,0.33,111.00
2700.00,0.58,23.00
2800.00,1.00,51.00
2900.00,3.67,24.00
3000.00,6.08,18.00
3100.00,8.17,13.00
3200.00,10.25,11.00
3300.00,12.83,10.00
3400.00,14.00,8.00
3500.00,16.00,5.00
3600.00,18.25,4.00
3700.00,20.33,4.00
3800.00,21.75,3.00
3900.00,24.50,2.00
4000.00,28.50,4.00
4100.00,28.00,14.00
4200.00,29.67,25.50
4300.00,30.50,32.00
4400.00,31.75,33.00
4500.00,32.00,33.00
4600.00,32.00,34.00
4700.00,32.00,33.00
4800.00,32.50,33.00
4900.00,33.50,34.00
5000.00,34.67,34.00
5100.00,35.75,34.00
5200.00,36.50,34.00
5300.00,37.50,35.00
5400.00,39.00,35.00
5500.00,41.50,36.00
5600.00,43.00,35.00
5700.00,44.50,34.50
5800.00,46.83,36.00
5900.00,48.00,36.00
6000.00,47.50,36.00
6100.00,47.50,36.00
6200.00,47.75,36.00
6300.00,48.00,36.00
6400.00,48.00,37.00
6500.00,47.67,37.00
6600.00,47.33,36.00
6700.00,48.00,36.00
6800.00,47.50,35.50
6900.00,47.50,36.00
7000.00,47.25,37.00
7100.00,47.17,37.00
7200.00,46.50,36.50
7300.00,45.50,37.50
7400.00,44.67,38.00
7500.00,44.50,37.00
7600.00,43.83,38.00
7700.00,43.00,37.00
7800.00,42.50,36.00
7900.00,42.00,36.00
8000.00,42.17,36.50
8100.00,42.25,36.50
8200.00,42.50,36.50
8300.00,42.75,36.00
8400.00,42.50,36.00
8500.00,42.50,36.00
8600.00,43.00,36.00
8700.00,43.00,36.00
8800.00,43.00,36.00
8900.00,43.00,35.50
9000.00,43.17,37.00
9100.00,43.25,37.00
9200.00,43.00,37.00
9300.00,43.00,37.50
9400.00,43.25,37.50
9500.00,43.25,37.50
9600.00,44.08,37.00
9700.00,43.83,37.00
9800.00,44.00,37.00
9900.00,44.00,37.00
10000.00,44.00,38.00
10100.00,44.00,38.00
10200.00,43.50,39.00
10300.00,43.75,39.00
10400.00,43.00,39.00
10500.00,42.25,40.00
10600.00,41.67,42.00
10700.00,41.25,42.00
10800.00,40.17,44.00
10900.00,39.75,44.00
11000.00,40.00,44.00
11100.00,40.75,45.00
11200.00,41.50,44.00
11300.00,42.75,43.00
11400.00,42.50,44.00
11500.00,43.00,44.00
11600.00,43.50,44.00
11700.00,43.50,47.00
11800.00,43.50,48.00
11900.00,43.25,51.00
12000.00,43.25,55.00
12100.00,42.50,60.00
12200.00,42.67,62.00
12300.00,42.75,63.00
12400.00,43.67,65.00
12500.00,43.25,64.00
12600.00,43.00,63.00
12700.00,44.00,62.00
12800.00,44.83,62.00
12900.00,46.00,62.00
12990.00,47.33,62.00
13034.00,46.50,59.00
13127.00,45.25,57.00
13221.00,45.00,60.00
13314.00,44.25,53.00
13408.00,43.25,61.00
13501.00,42.00,61.00
13595.00,41.00,55.00
13688.00,39.75,57.00
13782.00,38.50,62.00
13875.00,37.50,62.00
13969.00,35.00,57.00
14062.00,33.00,56.00
14156.00,31.50,57.00
14249.00,29.75,65.00
14343.00,28.25,66.00
14365.00,28.25,60.00
