,measured depth,inclination,azimuth,depth,northing,easting,name,x,y,GR
0,0.0,0.0,0.0,0.0,0.0,0.0,Rohn State LD10-65HN,961.7484402,1556.309792,
1,1200.0,0.0,0.0,1200.0,0.0,0.0,Rohn State LD10-65HN,961.7484402,1556.309792,47.32
2,1250.0,1.0,16.39,1250.0,0.42,0.12,Rohn State LD10-65HN,961.7484402,1556.309792,73.52
3,1300.0,2.0,16.39,1299.98,1.67,0.49,Rohn State LD10-65HN,961.7484402,1556.309792,72.8
4,1350.0,3.0,16.39,1349.93,3.77,1.11,Rohn State LD10-65HN,961.7484402,1556.309792,61.88
5,1400.0,4.0,16.39,1399.84,6.69,1.97,Rohn State LD10-65HN,961.7484402,1556.309792,83.72
6,1450.0,5.0,16.39,1449.68,10.46,3.08,Rohn State LD10-65HN,961.7484402,1556.309792,78.41
7,1500.0,6.0,16.39,1499.45,15.06,4.43,Rohn State LD10-65HN,961.7484402,1556.309792,76.44
8,1550.0,7.0,16.39,1549.13,20.49,6.03,Rohn State LD10-65HN,961.7484402,1556.309792,
9,1600.0,8.0,16.39,1598.7,26.75,7.87,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
10,1650.0,9.0,16.39,1648.15,33.84,9.95,Rohn State LD10-65HN,961.7484402,1556.309792,
11,1700.0,10.0,16.39,1697.47,41.75,12.28,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
12,1750.0,11.0,16.39,1746.63,50.5,14.85,Rohn State LD10-65HN,961.7484402,1556.309792,
13,1800.0,12.0,16.39,1795.62,60.06,17.66,Rohn State LD10-65HN,961.7484402,1556.309792,
14,1850.0,13.0,16.39,1844.44,70.44,20.72,Rohn State LD10-65HN,961.7484402,1556.309792,
15,1900.0,14.0,16.39,1893.06,81.64,24.01,Rohn State LD10-65HN,961.7484402,1556.309792,
16,1950.0,15.0,16.39,1941.46,93.65,27.54,Rohn State LD10-65HN,961.7484402,1556.309792,
17,1951.88,15.038,16.39,1943.27,94.12,27.68,Rohn State LD10-65HN,961.7484402,1556.309792,
18,2000.0,15.038,16.39,1989.75,106.09,31.2,Rohn State LD10-65HN,961.7484402,1556.309792,
19,2050.0,15.038,16.39,2038.04,118.54,34.86,Rohn State LD10-65HN,961.7484402,1556.309792,
20,2100.0,15.038,16.39,2086.33,130.98,38.52,Rohn State LD10-65HN,961.7484402,1556.309792,
21,2150.0,15.038,16.39,2134.61,143.43,42.19,Rohn State LD10-65HN,961.7484402,1556.309792,101.08
22,2200.0,15.038,16.39,2182.9,155.88,45.85,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
23,2250.0,15.038,16.39,2231.19,168.32,49.51,Rohn State LD10-65HN,961.7484402,1556.309792,98.27
24,2300.0,15.038,16.39,2279.48,180.77,53.17,Rohn State LD10-65HN,961.7484402,1556.309792,90.85
25,2350.0,15.038,16.39,2327.76,193.21,56.83,Rohn State LD10-65HN,961.7484402,1556.309792,
26,2400.0,15.038,16.39,2376.05,205.66,60.49,Rohn State LD10-65HN,961.7484402,1556.309792,
27,2450.0,15.038,16.39,2424.34,218.1,64.15,Rohn State LD10-65HN,961.7484402,1556.309792,
28,2500.0,15.038,16.39,2472.63,230.55,67.81,Rohn State LD10-65HN,961.7484402,1556.309792,
29,2550.0,15.038,16.39,2520.92,242.99,71.47,Rohn State LD10-65HN,961.7484402,1556.309792,
30,2600.0,15.038,16.39,2569.2,255.44,75.13,Rohn State LD10-65HN,961.7484402,1556.309792,94.64
31,2650.0,15.038,16.39,2617.49,267.88,78.79,Rohn State LD10-65HN,961.7484402,1556.309792,94.64
32,2700.0,15.038,16.39,2665.78,280.33,82.45,Rohn State LD10-65HN,961.7484402,1556.309792,
33,2750.0,15.038,16.39,2714.07,292.78,86.11,Rohn State LD10-65HN,961.7484402,1556.309792,
34,2800.0,15.038,16.39,2762.35,305.22,89.77,Rohn State LD10-65HN,961.7484402,1556.309792,
35,2850.0,15.038,16.39,2810.64,317.67,93.43,Rohn State LD10-65HN,961.7484402,1556.309792,
36,2900.0,15.038,16.39,2858.93,330.11,97.09,Rohn State LD10-65HN,961.7484402,1556.309792,
37,2950.0,15.038,16.39,2907.22,342.56,100.75,Rohn State LD10-65HN,961.7484402,1556.309792,113.55
38,3000.0,15.038,16.39,2955.51,355.0,104.41,Rohn State LD10-65HN,961.7484402,1556.309792,
39,3050.0,15.038,16.39,3003.79,367.45,108.07,Rohn State LD10-65HN,961.7484402,1556.309792,
40,3100.0,15.038,16.39,3052.08,379.89,111.73,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
41,3150.0,15.038,16.39,3100.37,392.34,115.39,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
42,3200.0,15.038,16.39,3148.66,404.78,119.05,Rohn State LD10-65HN,961.7484402,1556.309792,95.21
43,3244.6,15.038,16.39,3191.73,415.88,122.32,Rohn State LD10-65HN,961.7484402,1556.309792,
44,3250.0,14.929,16.39,3196.95,417.23,122.71,Rohn State LD10-65HN,961.7484402,1556.309792,
45,3300.0,13.929,16.39,3245.37,429.18,126.23,Rohn State LD10-65HN,961.7484402,1556.309792,78.34
46,3350.0,12.929,16.39,3294.0,440.32,129.51,Rohn State LD10-65HN,961.7484402,1556.309792,76.44
47,3400.0,11.929,16.39,3342.83,450.64,132.54,Rohn State LD10-65HN,961.7484402,1556.309792,83.77
48,3450.0,10.929,16.39,3391.84,460.15,135.34,Rohn State LD10-65HN,961.7484402,1556.309792,78.25
49,3500.0,9.929,16.39,3441.01,468.83,137.89,Rohn State LD10-65HN,961.7484402,1556.309792,78.77
50,3550.0,8.929,16.39,3490.33,476.69,140.2,Rohn State LD10-65HN,961.7484402,1556.309792,94.64
51,3600.0,7.928999999999999,16.39,3539.79,483.72,142.27,Rohn State LD10-65HN,961.7484402,1556.309792,
52,3650.0,6.928999999999999,16.39,3589.37,489.92,144.1,Rohn State LD10-65HN,961.7484402,1556.309792,100.25
53,3700.0,5.928999999999999,16.39,3639.06,495.3,145.68,Rohn State LD10-65HN,961.7484402,1556.309792,
54,3750.0,4.928999999999999,16.39,3688.83,499.83,147.01,Rohn State LD10-65HN,961.7484402,1556.309792,101.22
55,3800.0,3.929,16.39,3738.68,503.54,148.1,Rohn State LD10-65HN,961.7484402,1556.309792,
56,3850.0,2.929,16.39,3788.59,506.41,148.94,Rohn State LD10-65HN,961.7484402,1556.309792,106.8
57,3900.0,1.929,16.39,3838.55,508.44,149.54,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
58,3950.0,0.929,16.39,3888.53,509.64,149.89,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
59,3996.47,0.0,0.0,3935.0,510.0,150.0,Rohn State LD10-65HN,961.7484402,1556.309792,
60,5170.2,0.0,0.0,5108.72,510.0,150.0,Rohn State LD10-65HN,961.7484402,1556.309792,
61,5200.0,2.384,88.55,5138.52,510.02,150.62,Rohn State LD10-65HN,961.7484402,1556.309792,109.2
62,5250.0,6.3839999999999995,88.55,5188.36,510.11,154.44,Rohn State LD10-65HN,961.7484402,1556.309792,
63,5300.0,10.384,88.55,5237.82,510.3,161.73,Rohn State LD10-65HN,961.7484402,1556.309792,113.63
64,5350.0,14.384,88.55,5286.65,510.57,172.44,Rohn State LD10-65HN,961.7484402,1556.309792,111.75
65,5400.0,18.384,88.55,5334.6,510.92,186.54,Rohn State LD10-65HN,961.7484402,1556.309792,110.35
66,5450.0,22.384,88.55,5381.46,511.37,203.95,Rohn State LD10-65HN,961.7484402,1556.309792,105.56
67,5500.0,26.384,88.55,5426.99,511.89,224.58,Rohn State LD10-65HN,961.7484402,1556.309792,121.4
